Outcome,Features,Model,N,R2_kfold,R2_kfold_std,R2_kfold_ci_lo,R2_kfold_ci_hi
BAI,Personality,Elastic Net,498,0.15674313989255625,0.18208806713519837,-0.1990661100794634,0.359761599072474
BAI,Personality,Ridge,498,0.15578031027247255,0.1833819109520468,-0.21399757559317845,0.3608172659743343
BAI,Personality,Random Forest,498,0.15626728406387216,0.2045464325756313,-0.12009617006898861,0.38310975859642615
BAI,Personality,SVR,498,0.11520226980463796,0.1649836166291159,-0.1757282208594862,0.3319591143840202
BAI,Behavior,Elastic Net,363,-0.04144584285734085,0.06830220800365408,-0.19839713209197773,0.014608061351709391
BAI,Behavior,Ridge,363,-0.042399992530660124,0.06919287396882551,-0.1999552204174097,0.016001553882017253
BAI,Behavior,Random Forest,363,-0.049829753394939856,0.08963085608677994,-0.20437502078346148,0.054615644063463004
BAI,Behavior,SVR,363,-0.12066181897595712,0.09216124823939655,-0.3443554260040789,0.019334787242720457
BAI,Pers + Beh,Elastic Net,363,0.18175670189605167,0.1394119300057905,-0.0754379169999763,0.36218745909413563
BAI,Pers + Beh,Ridge,363,0.16775134050439072,0.1587775804536115,-0.13730529802652683,0.3787474160711453
BAI,Pers + Beh,Random Forest,363,0.15980361756598327,0.1932807408325757,-0.28030561424532097,0.4461532360565667
BAI,Pers + Beh,SVR,363,0.14946103894257778,0.14241662272900224,-0.1214134382934639,0.39543505919920413
