Study,Outcome,Domain,N,R2_personality,R2_sensing,Pers_wins,Delta
S1,PHQ-9,MH,27,-0.5524562671816814,0.1971146682043386,False,-0.74957093538602
S1,PSS,MH,27,0.39024779497306866,-0.22914802815646723,True,0.6193958231295359
S1,Loneliness,MH,27,0.20344451126602292,-0.25467660500385075,True,0.4581211162698737
S1,GPA,GPA,27,-0.1746755979440732,-1.8510175386064094,True,1.676341940662336
S2,CES-D,MH,498,0.27879489818441305,-0.010894186874760603,True,0.2896890850591737
S2,STAI-Trait,MH,498,0.522189873186611,0.0019896061008376443,True,0.5202002670857734
S2,BAI,MH,498,0.17571050589870915,-0.03483982397740647,True,0.2105503298761156
S2,Loneliness,MH,498,0.011336584271848315,-0.006640416244922029,True,0.017977000516770345
S2,Self-Esteem,MH,717,0.41208167038761845,-0.007861559661543324,True,0.4199432300491618
S2,GPA,GPA,220,0.002325270362565508,-0.04416676157531329,True,0.0464920319378788
S3,BDI-II,MH,779,0.09108605365174577,-0.0008638984173652053,True,0.09194995206911097
S3,STAI-State,MH,799,0.20046611110196047,-0.007361960961631691,True,0.20782807206359216
S3,PSS-10,MH,800,0.142548956433892,-0.009181719042049324,True,0.15173067547594132
S3,CESD,MH,800,0.09303099195433888,-0.010046127063325683,True,0.10307711901766456
S3,UCLA,MH,798,0.09228420092794622,-0.02312919125698731,True,0.11541339218493353
