feature,importance,importance_type
unique_apps_cv,0.7620873734238203,coefficient_magnitude
sms_received_ratio,0.7000292688773239,coefficient_magnitude
still_ratio_std,0.6551418151622808,coefficient_magnitude
distance_traveled_cv,0.6480265856255975,coefficient_magnitude
weekend_weekday_ratio,0.6430565985147334,coefficient_magnitude
activity_transitions_mean,0.5895665941469309,coefficient_magnitude
moving_ratio_mean,0.5673441424764031,coefficient_magnitude
comm_valid_days,0.5380288074090912,coefficient_magnitude
distance_traveled_std,0.5378621922398882,coefficient_magnitude
gps_valid_days,0.5363569830192153,coefficient_magnitude
communication_trend_slope,0.5096983791553172,coefficient_magnitude
gps_points_per_day,0.4770935650409477,coefficient_magnitude
n_significant_locations,0.433040569685882,coefficient_magnitude
app_total_switches,0.42298870585829323,coefficient_magnitude
activity_transitions_std,0.3914206913410645,coefficient_magnitude
max_distance_from_home,0.3804933904447645,coefficient_magnitude
call_duration_mean,0.3632290793806082,coefficient_magnitude
app_switches_cv,0.3519811394737836,coefficient_magnitude
call_unique_contacts_mean,0.34659008290031235,coefficient_magnitude
unique_apps_std,0.3445698187205504,coefficient_magnitude
movement_entropy,0.327750261341832,coefficient_magnitude
night_usage_std,0.3232191113949101,coefficient_magnitude
location_variance_mean,0.304332409746415,coefficient_magnitude
location_variance_std,0.2975566058410295,coefficient_magnitude
call_count_std,0.2892026016875427,coefficient_magnitude
total_unique_contacts,0.2809944427328166,coefficient_magnitude
radius_of_gyration_mean,0.2652546518862776,coefficient_magnitude
sms_unique_contacts_mean,0.23130692171870768,coefficient_magnitude
moving_ratio_std,0.2123290972681973,coefficient_magnitude
app_switches_std,0.20698113615083122,coefficient_magnitude
call_incoming_ratio,0.20016738674351953,coefficient_magnitude
home_stay_ratio,0.18043750815667117,coefficient_magnitude
total_communication_cv,0.1359129424601707,coefficient_magnitude
activity_trend_slope,0.12517680237974166,coefficient_magnitude
app_switches_mean,0.12316351648922244,coefficient_magnitude
call_duration_std,0.12283971814423558,coefficient_magnitude
still_ratio_mean,0.11976352146299099,coefficient_magnitude
sms_count_mean,0.11316754177428098,coefficient_magnitude
gps_total_points,0.10159470038923117,coefficient_magnitude
moving_ratio_cv,0.08060365096004461,coefficient_magnitude
activity_valid_days,0.07734240974970841,coefficient_magnitude
radius_gyration_cv,0.0770630186854261,coefficient_magnitude
distance_traveled_mean,0.06555600050604492,coefficient_magnitude
unique_apps_mean,0.058119452647469066,coefficient_magnitude
sms_count_std,0.05361057088839935,coefficient_magnitude
night_usage_ratio,0.048091129103947465,coefficient_magnitude
activity_total_samples,0.014699267152244217,coefficient_magnitude
app_valid_days,0.014316838146912043,coefficient_magnitude
call_count_mean,0.006624481514261277,coefficient_magnitude
sedentary_days_ratio,0.0,coefficient_magnitude
