feature,importance,importance_type
unique_apps_mean,0.20722394,gain
gps_points_per_day,0.13142759,gain
distance_traveled_std,0.07383131,gain
distance_traveled_mean,0.07152817,gain
movement_entropy,0.064503975,gain
unique_apps_cv,0.056530513,gain
gps_total_points,0.055538826,gain
app_switches_mean,0.045234244,gain
moving_ratio_cv,0.044706102,gain
moving_ratio_mean,0.041548304,gain
radius_of_gyration_mean,0.03133947,gain
activity_transitions_mean,0.026210895,gain
still_ratio_std,0.02554329,gain
location_variance_mean,0.018059315,gain
n_significant_locations,0.01763263,gain
weekend_weekday_ratio,0.014648926,gain
app_switches_std,0.012746303,gain
night_usage_ratio,0.012499431,gain
activity_transitions_std,0.009660839,gain
night_usage_std,0.009310966,gain
comm_valid_days,0.008961291,gain
communication_trend_slope,0.0065328847,gain
unique_apps_std,0.0036954202,gain
moving_ratio_std,0.0030023444,gain
total_communication_cv,0.0025682277,gain
location_variance_std,0.002538786,gain
activity_trend_slope,0.0020343282,gain
sms_count_mean,0.0009416953,gain
activity_valid_days,0.0,gain
still_ratio_mean,0.0,gain
sedentary_days_ratio,0.0,gain
sms_unique_contacts_mean,0.0,gain
total_unique_contacts,0.0,gain
call_count_mean,0.0,gain
sms_received_ratio,0.0,gain
sms_count_std,0.0,gain
call_unique_contacts_mean,0.0,gain
call_incoming_ratio,0.0,gain
call_duration_std,0.0,gain
call_duration_mean,0.0,gain
call_count_std,0.0,gain
app_total_switches,0.0,gain
app_valid_days,0.0,gain
app_switches_cv,0.0,gain
gps_valid_days,0.0,gain
radius_gyration_cv,0.0,gain
distance_traveled_cv,0.0,gain
home_stay_ratio,0.0,gain
max_distance_from_home,0.0,gain
activity_total_samples,0.0,gain
