Study,Outcome,Features,N,Prevalence,Sensitivity,Specificity,PPV,NPV,AUC,NNS,TP_per_100,FP_per_100,FN_per_100,TN_per_100,Net_Benefit
S2,CES-D≥16,Pers-only,363,0.284,0.854,0.764,0.62,0.935,0.836,1.6,24.2,16.9,4.1,54.7,0.1754
S2,CES-D≥16,Pers+Beh,363,0.284,0.841,0.767,0.62,0.931,0.831,1.6,23.9,16.7,4.5,54.9,0.1724
S2,CES-D≥16,Beh-only,363,0.284,0.651,0.596,0.426,0.839,0.546,2.3,18.5,28.9,9.9,42.7,0.07
S2,STAI≥45,Pers-only,363,0.253,0.855,0.831,0.669,0.948,0.866,1.5,21.7,12.7,3.7,62.0,0.1737
S2,STAI≥45,Pers+Beh,363,0.253,0.844,0.824,0.659,0.944,0.859,1.5,21.4,13.1,4.0,61.5,0.1693
S2,STAI≥45,Beh-only,363,0.253,0.695,0.599,0.411,0.875,0.577,2.4,17.6,29.9,7.7,44.7,0.0745
S3,BDI-II≥14,Pers-only,588,0.398,0.743,0.616,0.584,0.801,0.672,1.7,29.6,23.1,10.2,37.1,0.1425
S3,BDI-II≥14,Pers+Beh,588,0.398,0.747,0.621,0.587,0.801,0.672,1.7,29.7,22.8,10.1,37.4,0.1466
S3,BDI-II≥14,Beh-only,588,0.398,0.672,0.552,0.526,0.745,0.562,1.9,26.7,27.0,13.1,33.2,0.0889
S3,BDI-II≥20,Pers-only,588,0.23,0.737,0.657,0.428,0.904,0.682,2.3,16.9,26.4,6.0,50.6,0.0905
S3,BDI-II≥20,Pers+Beh,588,0.23,0.716,0.672,0.441,0.897,0.687,2.3,16.4,25.3,6.5,51.8,0.089
S3,BDI-II≥20,Beh-only,588,0.23,0.637,0.636,0.382,0.869,0.601,2.6,14.6,28.0,8.3,49.0,0.0627
S3,PSS≥20,Pers-only,594,0.498,0.7,0.672,0.701,0.713,0.686,1.4,34.9,16.5,14.9,33.7,0.1854
S3,PSS≥20,Pers+Beh,594,0.498,0.68,0.718,0.72,0.706,0.704,1.4,33.9,14.1,16.0,36.0,0.1982
S3,PSS≥20,Beh-only,594,0.498,0.682,0.586,0.648,0.689,0.606,1.5,34.0,20.8,15.9,29.4,0.1332
