Feature,Window_days,ICC,ICC_CI_lo,ICC_CI_hi,N_persons,N_windows_median
Steps,7,0.9804603626947533,0.98,0.98,671,11.0
Steps,14,0.9663177617081065,0.96,0.97,668,6.0
Steps,30,0.9654341341106574,0.96,0.97,656,3.0
Steps,45,0.943143077744976,0.93,0.95,631,2.0
Steps,60,0.8730725951409144,0.85,0.89,553,2.0
Sleep Duration,7,0.9438175731042976,0.93,0.95,665,10.0
Sleep Duration,14,0.9201357833227982,0.91,0.93,659,6.0
Sleep Duration,30,0.8866659117261214,0.87,0.9,641,3.0
Sleep Duration,45,0.8717004431782613,0.85,0.89,612,2.0
Sleep Duration,60,0.7454000839187358,0.7,0.79,533,2.0
Sleep Efficiency,7,0.9845818142002366,0.98,0.99,665,10.0
Sleep Efficiency,14,0.9773785324195593,0.97,0.98,659,6.0
Sleep Efficiency,30,0.9773119071517052,0.97,0.98,641,3.0
Sleep Efficiency,45,0.9577194343012874,0.95,0.96,612,2.0
Sleep Efficiency,60,0.9278949039796542,0.91,0.94,532,2.0
Screen Time,7,0.9623437612785891,0.96,0.97,705,12.0
Screen Time,14,0.9141479653529566,0.9,0.93,702,6.0
Screen Time,30,0.9358081693407061,0.93,0.94,698,3.0
Screen Time,45,0.9303443503829432,0.92,0.94,695,2.0
Screen Time,60,0.8786678530804897,0.86,0.9,685,2.0
Calls (Incoming),7,0.9599476481771458,0.95,0.97,699,12.0
Calls (Incoming),14,0.9438198458362386,0.93,0.95,697,6.0
Calls (Incoming),30,0.9275865646233683,0.92,0.94,685,3.0
Calls (Incoming),45,0.9305751376256042,0.92,0.94,666,2.0
Calls (Incoming),60,0.8755475236877768,0.85,0.89,617,2.0
Home Time,7,0.8890780977598379,0.87,0.91,638,12.0
Home Time,14,0.789838712286927,0.75,0.82,636,6.0
Home Time,30,0.7804027404930143,0.74,0.81,633,3.0
Home Time,45,0.766659057684463,0.73,0.8,629,2.0
Home Time,60,0.7266148809524683,0.68,0.77,620,2.0
