Trait,Mediator,N,a (X→M),b (M→Y|X),c (total),c' (direct),ab (indirect),ab_CI_lo,ab_CI_hi,p_indirect,R²,sig,p_fdr,sig_fdr
extraversion,mobility_pc1,27,0.21897574296893685,0.1463628812743101,0.18460121404523372,0.15255129337511747,0.03204992067011635,-0.02209098258312235,0.22359703193755068,0.4278,0.05447250382693103,,1.0,
extraversion,digital_pc1,27,-0.028622310515482148,0.008520921863981696,0.18460121404523372,0.1848451025167027,-0.00024388847146904503,-0.13310061811986593,0.10100373394688368,0.943,0.034150154854799664,,1.0,
extraversion,social_pc1,27,0.11592327383463304,-0.05834257697819557,0.18460121404523372,0.19136447657249525,-0.0067632625272615226,-0.13323835689331534,0.04738069618739723,0.7482,0.03743572279541807,,1.0,
extraversion,activity_pc1,27,0.26150650660460834,-0.24693455852070098,0.18460121404523372,0.24917620780393349,-0.06457499375869974,-0.30755950228683293,0.024638531506189738,0.7184,0.09088435459985145,,1.0,
extraversion,screen_pc1,27,-0.0820543803345969,0.21569138902170032,0.18460121404523372,0.2022996373149178,-0.017698423269684096,-0.17981015796537092,0.04855668905061168,0.65,0.08028714933885162,,1.0,
extraversion,proximity_pc1,27,-0.04237558186573237,0.4657965054573939,0.18460121404523372,0.20433961199501555,-0.019738397949781848,-0.2638822822042731,0.1772238769733962,0.7968,0.25065438836967013,,1.0,
extraversion,face2face_pc1,27,0.2900447837049279,-0.06639134183939488,0.18460121404523372,0.20385767642892094,-0.01925646238368722,-0.23389850133500645,0.13185042363943228,0.7954,0.038114607154675295,,1.0,
extraversion,audio_pc1,27,-0.4707053687352555,0.09784696706737633,0.18460121404523372,0.23065830675830945,-0.04605709271307578,-0.23248717167197405,0.21548171929615964,0.6444,0.04153038140207754,,1.0,
agreeableness,mobility_pc1,27,0.238702513973846,0.1427222687851775,0.1892640384204593,0.1551958740613866,0.03406816435907284,-0.022638478851717204,0.23466074945590484,0.3536,0.05502988242361262,,1.0,
agreeableness,digital_pc1,27,-0.2089725884896729,0.04473477095123731,0.1892640384204593,0.198612379301632,-0.009348340881172687,-0.36482849935996065,0.1288893684493646,0.7944,0.03773468449405015,,1.0,
agreeableness,social_pc1,27,-0.007977244216460944,-0.03465137999234144,0.1892640384204593,0.188987615899823,0.00027642252063629625,-0.10045111927613007,0.06781286307129943,0.94,0.0370215179651846,,1.0,
agreeableness,activity_pc1,27,0.2848169261836341,-0.2564852160547516,0.1892640384204593,0.26231536926871885,-0.07305133084825963,-0.25538739515195796,0.022563794491949826,0.3052,0.09626904535517167,,1.0,
agreeableness,screen_pc1,27,0.09243428012953131,0.18316228869853188,0.1892640384204593,0.1723335641177331,0.016930474302726182,-0.058541755487428605,0.1823464639025438,0.7562,0.06908265928038992,,1.0,
agreeableness,proximity_pc1,27,-0.05378304747114571,0.4686723815850904,0.1892640384204593,0.21447066736766507,-0.025206628947205833,-0.22863834061443658,0.22535116965176935,0.8882,0.2548393033569797,,1.0,
agreeableness,face2face_pc1,27,0.03855111000764086,-0.01458149578388057,0.1892640384204593,0.18982617126849954,-0.0005621328480403312,-0.09297869808989184,0.050547351568707,1.0,0.03603318026517732,,1.0,
agreeableness,audio_pc1,27,-0.20796349641681935,0.029929280865160664,0.1892640384204593,0.1954882363144191,-0.00622419789395982,-0.1707768370196526,0.13437394970061203,0.9196,0.036677897452903396,,1.0,
conscientiousness,mobility_pc1,27,0.0914073446520805,0.13044159898205196,0.5515551767783631,0.5396318565832421,0.011923320195120896,-0.026071829197353485,0.1517475390462577,0.8872,0.32108595821153074,,1.0,
