Features,Model,R2,RMSE,MAE,p_perm,N
Personality,Elastic Net,0.12597627373646192,0.36378961148128863,0.2907542926254013,0.00998003992015968,27
Personality,Ridge,-0.0235346387926747,0.393676920064904,0.319784939670758,1.0,27
Personality,Random Forest,0.21200599868714676,0.34542211390920763,0.27476522204399306,0.007984031936127744,27
Personality,SVR,0.05936247040383558,0.3773982074747521,0.3079602758662785,0.06786427145708583,27
Behavior,Elastic Net,-0.12992460398916883,0.4136313187949942,0.3290798008665853,1.0,27
Behavior,Ridge,-0.5157923228727406,0.4790805434275147,0.35543478670006573,1.0,27
Behavior,Random Forest,-0.034766495237946726,0.39583105244075967,0.3226649480183791,1.0,27
Behavior,SVR,0.11616002159711358,0.36582678715942823,0.2962682261646694,0.031936127744510975,27
Pers + Beh,Elastic Net,-0.43257495782486743,0.4657440973533465,0.3486156448657326,1.0,27
Pers + Beh,Ridge,-0.43264037381347653,0.4657547309200587,0.37714018289925044,1.0,27
Pers + Beh,Random Forest,0.10221456442020493,0.36870154698555063,0.29311278376998534,0.03992015968063872,27
Pers + Beh,SVR,0.13331889070787262,0.36225830205494014,0.2737146672428678,0.029940119760479042,27
